"time","time_orig","p_id","lon","lat","altitude","z","ta_int","UTM_x","UTM_y"
"2019-06-26 22:00:00",2019-06-26T21:57:55Z,5443,7.3675014,46.9796107,626,624,26.6,375842.28454543,5204191.669783
"2019-06-26 22:00:00",2019-06-26T21:53:50Z,5444,7.3782848876969,46.946669768051,553,548,27.1,376586.646368522,5200514.15370429
"2019-06-26 22:00:00",2019-06-26T22:00:45Z,5445,7.378288,46.967768,509,508,NAN,376635.394268678,5202858.63826541
"2019-06-26 22:00:00",2019-06-26T21:58:07Z,5447,7.3737995,46.9257021,-999,584,26.7,376196.98455257,5198191.25238943
"2019-06-26 22:00:00",2019-06-26T21:51:31Z,5448,7.387597,46.968521,504,497,24.4,377345.244583919,5202927.70102924
"2019-06-26 22:00:00",2019-06-26T21:52:00Z,5451,7.37657,46.949595,531,541,27,376462.876953536,5200841.91370384
"2019-06-26 22:00:00",NAN,5452,7.3376443550171,46.93147550762,642,640,NAN,373458.136713041,5198890.51998575
"2019-06-26 22:00:00",2019-06-26T22:01:19Z,5453,7.3710107805535,46.927765333253,602,599,27.1,375989.445362099,5198424.92949042
"2019-06-26 22:00:00",2019-06-26T21:57:04Z,5454,7.385678,46.960113,505,505,24.5,377180.023158231,5201996.38671405
"2019-06-26 22:00:00",2019-06-26T21:54:31Z,5460,7.382689,46.946029,560,559,24.3,376920.326582691,5200436.02588574
"2019-06-26 22:00:00",NAN,5461,7.2520142,46.9416011,570,564,NAN,366965.014212757,5200157.45022903
"2019-06-26 22:00:00",NAN,5464,7.2801217,46.9707284,511,509,NAN,369175.192335043,5203346.82388877
"2019-06-26 22:00:00",NAN,5465,7.2624797999999,46.9548447,559,556,NAN,367794.131313467,5201611.39792633
"2019-06-26 22:00:00",2019-06-26T21:55:02Z,5466,7.24178,46.94635,-999,472,24.9,366197.966305925,5200702.57491944
"2019-06-26 22:00:00",2019-06-26T21:57:51Z,5469,7.3394290085984,46.993752827582,627,625,NAN,373740.625448441,5205808.05327274
"2019-06-26 22:00:00",2019-06-26T21:58:51Z,5471,7.3398104060822,46.993682657277,625,625,23.8,373769.45868826,5205799.64102937
"2019-06-26 22:00:00",2019-06-26T21:56:22Z,5473,7.3655295,47.0085017,645,645,24.3,375759.309207582,5207405.25599231
"2019-06-26 22:00:00",2019-06-26T21:58:06Z,5475,7.3829649175048,46.985796608515,623,622,24.6,377032.51060396,5204854.67791035
"2019-06-26 22:00:00",NAN,5476,7.3848442,46.985647,623,619,NAN,377175.075365915,5204835.10484954
"2019-06-26 22:00:00",2019-06-26T22:00:58Z,5478,7.366284,47.040065,540,527,24.3,375889.851248736,5210911.49035769
"2019-06-26 22:00:00",2019-06-26T21:56:16Z,5479,7.383176,46.985635,622,622,28,377048.191450878,5204836.38816959
"2019-06-26 22:00:00",NAN,5481,7.385756,46.985748,613,618,NAN,377244.643442188,5204844.89914295
"2019-06-26 22:00:00",2019-06-26T21:55:05Z,5483,7.3333938000001,46.9935446,640,637,NAN,373281.262640123,5205794.66023213
"2019-06-26 22:00:00",2019-06-26T22:00:17Z,5484,7.3667935,47.0103241,656,655,25.5,375859.611176623,5207605.76281011
"2019-06-26 22:00:00",NAN,5485,7.3170405993741,47.028645360243,597,597,NAN,372121.71855282,5209721.75750081
"2019-06-26 22:00:00",2019-06-26T21:54:56Z,5486,7.3185896,47.02922,591,590,26.1,372240.787281073,5209783.08440801
"2019-06-26 22:00:00",2019-06-26T21:56:19Z,5487,7.3620065,47.0062846,650,652,24.1,375486.367883532,5207164.47956708
"2019-06-26 22:00:00",2019-06-26T21:51:45Z,5489,7.3158841150665,47.030136464619,589,585,25.9,372037.410519082,5209889.34417171
"2019-06-26 22:00:00",2019-06-26T21:51:42Z,5496,7.297337,46.996753,692,689,26.4,370547.524771526,5206210.14967722
"2019-06-26 22:00:00",2019-06-26T22:01:02Z,5498,7.3121056,47.0339018,564,566,25.8,371759.339150983,5210313.94532308
"2019-06-26 22:00:00",2019-06-26T22:00:01Z,5499,7.2749162,47.0225639,516,517,27.2,368906.105707182,5209115.63719704
"2019-06-26 22:00:00",2019-06-26T21:59:26Z,5500,7.2961282,47.0261202,531,527,24.5,370526.632099299,5209475.52575869
"2019-06-26 22:00:00",2019-06-26T21:54:38Z,5501,7.235941,47.022928,565,455,26.4,365945.2482385,5209222.09639972
"2019-06-26 22:00:00",2019-06-26T21:57:07Z,5502,7.2979462000001,47.0257452,536,536,26.1,370663.868988927,5209430.84940705
"2019-06-26 22:00:00",2019-06-26T21:52:10Z,5504,7.2727854,47.0395591,445,447,NAN,368785.854797652,5211007.77278133
"2019-06-26 22:00:00",2019-06-26T21:54:20Z,5506,7.5418698,46.8962022,531,530,24.7,388931.084473891,5194661.52915432
"2019-06-26 22:00:00",NAN,5507,7.549925,46.9015469,572,573,NAN,389555.635186726,5195244.07169899
"2019-06-26 22:00:00",2019-06-26T21:57:53Z,5509,7.4968464999999,46.8845937,535,537,NAN,385476.901133895,5193436.29300452
"2019-06-26 22:00:00",2019-06-26T21:59:48Z,5511,7.499769,46.8817056,522,522,27.6,385693.423469751,5193111.10164451
"2019-06-26 22:00:00",2019-06-26T21:59:17Z,5512,7.5445334976196,46.89685791829,540,538,24.7,389135.33293706,5194730.62653125
"2019-06-26 22:00:00",NAN,5514,7.5632067,46.8788113,554,559,NAN,390520.955089768,5192699.0347522
"2019-06-26 22:00:00",2019-06-26T22:00:25Z,5520,7.5542299,46.8724417,524,523,NAN,389823.922529742,5192003.79554991
"2019-06-26 22:00:00",2019-06-26T22:01:07Z,5522,7.5512699999999,46.86744,525,523,23.9,389588.105631054,5191452.15788703
"2019-06-26 22:00:00",2019-06-26T21:58:13Z,5523,7.565548,46.879728,575,573,27.3,390701.214136035,5192797.63672202
"2019-06-26 22:00:00",2019-06-26T21:54:00Z,5526,7.5535203931153,46.870137223653,522,521,24.2,389765.135516421,5191748.71463721
"2019-06-26 22:00:00",NAN,5529,7.551406,46.873566,522,522,NAN,389611.033705611,5192132.69737942
"2019-06-26 22:00:00",2019-06-26T21:57:30Z,5530,7.54741,46.872207,525,522,27.2,389303.730991832,5191987.31101184
"2019-06-26 22:00:00",2019-06-26T21:57:17Z,5531,7.5049432398692,46.878194924856,539,541,25,386080.224842116,5192713.46616201
"2019-06-26 22:00:00",2019-06-26T21:55:36Z,5532,7.547494,46.872754,522,522,24,389311.25707985,5192047.97606332
"2019-06-26 22:00:00",2019-06-26T22:01:23Z,5533,7.49307,46.89336,556,549,NAN,385207.887321772,5194415.93773346
"2019-06-26 22:00:00",2019-06-26T21:49:11Z,5535,7.5515467,46.873651,523,522,25.5,389621.929802922,5192141.94484152
"2019-06-26 22:00:00",NAN,5536,7.5495080000001,46.877028,541,519,NAN,389473.509861137,5192520.07173767
"2019-06-26 22:00:00",2019-06-26T21:53:50Z,5539,7.4997968,46.9175396,510,513,NAN,385771.686170119,5197093.00478197
"2019-06-26 22:00:00",2019-06-26T21:51:16Z,5542,7.499917,46.886085,523,522,25.2,385714.002554095,5193597.53226082
"2019-06-26 22:00:00",2019-06-26T21:55:00Z,5544,7.4997189369507,46.882379277947,524,525,NAN,385691.04026393,5193186.03475171
"2019-06-26 22:00:00",2019-06-26T21:53:26Z,5545,7.489569,46.871388,596,604,28.4,384894.204725774,5191979.50212504
"2019-06-26 22:00:00",2019-06-26T21:46:08Z,5547,7.5489936236368,46.871207559874,524,523,NAN,389422.358057311,5191874.01942434
"2019-06-26 22:00:00",2019-06-26T21:52:36Z,5548,7.4968374,46.9007223,513,515,27.3,385510.54359006,5195228.54542229
"2019-06-26 22:00:00",2019-06-26T21:53:10Z,5549,7.5477440846557,46.871053687801,525,521,26,389326.818692956,5191858.68201655
"2019-06-26 22:00:00",2019-06-26T21:59:25Z,5551,7.4915438,46.8686836,552,546,24.4,385038.921124312,5191676.09130171
"2019-06-26 22:00:00",2019-06-26T21:54:47Z,5553,7.5070949999999,46.8812327,547,556,26.7,386250.602988878,5193047.90745338
"2019-06-26 22:00:00",2019-06-26T21:58:00Z,5554,7.5068623,46.8807888,546,546,27.4,386231.934538462,5192998.91787847
"2019-06-26 22:00:00",2019-06-26T21:54:39Z,5556,7.501444,46.884176,524,523,23.9,385826.286491407,5193383.17815886
"2019-06-26 22:00:00",2019-06-26T22:00:15Z,5557,7.498782,46.8848117,525,523,24.1,385624.825345276,5193457.69467927
"2019-06-26 22:00:00",NAN,5558,7.4975849,46.8880656,530,534,NAN,385540.544724206,5193821.01905137
"2019-06-26 22:00:00",2019-06-26T21:55:43Z,5562,7.4627716246064,46.922055463858,565,563,27.2,382962.399111319,5197649.40752619
"2019-06-26 22:00:00",2019-06-26T21:55:37Z,5563,7.4326159392216,46.894308085571,779,776,27.5,380604.907913386,5194611.51205344
"2019-06-26 22:00:00",2019-06-26T21:52:41Z,5565,7.41184,46.91092,662,663,25.8,379059.703446793,5196489.28166121
"2019-06-26 22:00:00",2019-06-26T21:55:44Z,5566,7.43213,46.92471,635,633,25.9,380635.420182752,5197990.5698495
"2019-06-26 22:00:00",2019-06-26T21:53:01Z,5568,7.40777,46.92022,586,586,23.7,378770.753377799,5197528.99894556
"2019-06-26 22:00:00",2019-06-26T22:01:17Z,5573,7.475736,46.88223,830,832,25.4,383863.444950777,5193204.66004354
"2019-06-26 22:00:00",2019-06-26T22:00:20Z,5574,7.4083063736664,46.92437853784,605,603,23.6,378820.970353519,5197990.27515655
"2019-06-26 22:00:00",NAN,5575,7.4150876,46.91008,658,659,NAN,379305.121858592,5196390.93703126
"2019-06-26 22:00:00",2019-06-26T21:52:56Z,5577,7.4196222,46.9217747,622,619,24.8,379676.622847942,5197683.50752637
"2019-06-26 22:00:00",2019-06-26T21:56:38Z,5579,7.415754,46.913126,630,630,28,379362.705603332,5196728.3890588
"2019-06-26 22:00:00",NAN,5580,7.4146223068237,46.880202036147,710,704,NAN,379202.599575806,5193071.56683547
"2019-06-26 22:00:00",NAN,5581,7.409987,46.889546,711,736,NAN,378870.45880154,5194117.02637046
"2019-06-26 22:00:00",2019-06-26T21:58:41Z,5583,7.421653,46.9248345,597,594,23.5,379838.080261661,5198020.40512301
"2019-06-26 22:00:00",2019-06-26T21:59:21Z,5584,7.4180889749645,46.906110081866,735,669,27.7,379524.783274612,5195945.17860265
"2019-06-26 22:00:00",2019-06-26T21:58:57Z,5585,7.4162511792068,46.910842049975,646,645,25.7,379395.439551298,5196473.82766444
"2019-06-26 22:00:00",2019-06-26T22:01:09Z,5586,7.467421,46.916615,565,567,27.9,383304.561901963,5197037.92318083
"2019-06-26 22:00:00",2019-06-26T21:54:32Z,5587,7.419442,46.91765,-999,611,25.9,379653.665991206,5197225.43898251
"2019-06-26 22:00:00",NAN,5590,7.4119000000001,46.91085,662,663,NAN,379064.114949587,5196481.41062125
"2019-06-26 22:00:00",2019-06-26T22:01:23Z,5593,7.517955,46.935309,593,592,28.1,387191.583485022,5199041.29878905
"2019-06-26 22:00:00",2019-06-26T21:51:11Z,5602,7.5464162000001,46.9256395,622,618,24.5,389338.00748176,5197926.24361146
"2019-06-26 22:00:00",2019-06-26T21:55:17Z,5604,7.5607757134918,46.935633596573,584,581,NAN,390451.572097715,5199016.65176266
"2019-06-26 22:00:00",2019-06-26T21:58:35Z,5607,7.54509,46.925675,603,610,25.3,389237.11789296,5197932.06074617
"2019-06-26 22:00:00",NAN,5608,7.4968578784475,46.977900050282,602,594,NAN,385676.529220533,5203804.71183051
"2019-06-26 22:00:00",2019-06-26T21:52:22Z,5611,7.4997491,46.9811288,623,622,NAN,385903.291614859,5204159.28700478
"2019-06-26 22:00:00",2019-06-26T21:59:31Z,5614,7.501549,46.975624,604,605,26.1,386028.476253779,5203544.95549372
"2019-06-26 22:00:00",2019-06-26T22:00:20Z,5615,7.5376,46.930259,624,621,26.7,388676.408874062,5198452.05284792
"2019-06-26 22:00:00",2019-06-26T21:56:11Z,5616,7.505346,46.974159,626,609,27.3,386314.164620528,5203376.64398264
"2019-06-26 22:00:00",NAN,5617,7.529239,46.93181,-999,588,NAN,388043.178883682,5198636.30781041
"2019-06-26 22:00:00",2019-06-26T21:54:05Z,5622,7.5022793010155,46.969686591458,603,608,NAN,386071.410942659,5202884.10922022
"2019-06-26 22:00:00",2019-06-26T21:52:30Z,5623,7.499718,46.956786,0,573,NAN,385849.137961506,5201454.28245206
"2019-06-26 22:00:00",NAN,5625,7.4853330999999,46.9797822,589,592,NAN,384804.053942962,5204030.74256908
"2019-06-26 22:00:00",2019-06-26T21:52:03Z,5627,7.508656,46.955983,463,622,24.8,386527.488903625,5201352.07244641
"2019-06-26 22:00:00",2019-06-26T21:53:37Z,5628,7.498592,46.977421,-999,604,26.9,385807.398017981,5203748.94940467
"2019-06-26 22:00:00",2019-06-26T21:51:48Z,5634,7.4986394,46.9760471,596,592,23.9,385808.077662141,5203596.20797136
"2019-06-26 22:00:00",2019-06-26T21:52:56Z,5635,7.496343,46.938114,565,563,27.5,385552.551393113,5199384.31834052
"2019-06-26 22:00:00",2019-06-26T21:56:26Z,5636,7.489066,46.975584,573,573,25.9,385078.953884438,5203558.74307442
"2019-06-26 22:00:00",NAN,5638,7.498937,46.974049,599,581,NAN,385826.458927421,5203373.73882446
"2019-06-26 22:00:00",2019-06-26T22:01:08Z,5639,7.4980367319906,46.960109445642,420,565,26.7,385728.2957315,5201826.04363351
"2019-06-26 22:00:00",2019-06-26T22:00:43Z,5642,7.497425,46.960009,562,561,27.9,385681.540934993,5201815.77389034
"2019-06-26 22:00:00",2019-06-26T21:59:28Z,5645,7.492617,46.971724,554,539,25.2,385340.785785948,5203124.60533948
"2019-06-26 22:00:00",2019-06-26T21:51:00Z,5648,7.5114517,46.9357864,597,595,27,386697.588079908,5199103.72576659
"2019-06-26 22:00:00",2019-06-26T21:54:41Z,5649,7.4980399884682,46.961484859133,564,562,24.7,385731.472511829,5201978.87902279
"2019-06-26 22:00:00",NAN,5652,7.512809,46.931601,-999,569,NAN,386792.07740716,5198636.67275686
"2019-06-26 22:00:00",2019-06-26T21:50:56Z,5653,7.4931656,46.9539286,566,570,27.1,385344.493752069,5201146.32334825
"2019-06-26 22:00:00",2019-06-26T22:00:19Z,5655,7.495198,46.940638,-999,558,27.2,385470.786925424,5199666.46390777
"2019-06-26 22:00:00",2019-06-26T21:54:22Z,5659,7.497195,46.954681,-999,574,NAN,385652.690374315,5201224.04614876
"2019-06-26 22:00:00",2019-06-26T22:00:53Z,5660,7.547629,46.959256,650,646,27.5,389499.540140189,5201660.09515579
"2019-06-26 22:00:00",2019-06-26T21:57:47Z,5661,7.4981087,46.9374999,-999,560,27.6,385685.634399568,5199313.50203801
"2019-06-26 22:00:00",2019-06-26T21:53:02Z,5662,7.4873069,46.9577083,554,555,28.6,384906.816310982,5201574.92107928
"2019-06-26 22:00:00",2019-06-26T21:58:55Z,5663,7.4908603767212,46.958695519352,551,553,25.9,385179.290531227,5201679.41197032
"2019-06-26 22:00:00",NAN,5667,7.4961593,46.9388432,564,560,NAN,385540.123945931,5199465.61713079
"2019-06-26 22:00:00",2019-06-26T21:51:34Z,5670,7.4826945,46.9554463,556,557,28.6,384551.021600043,5201330.34430499
"2019-06-26 22:00:00",2019-06-26T21:59:34Z,5673,7.4837181,46.958905,597,552,25,384636.339549859,5201713.17803057
"2019-06-26 22:00:00",2019-06-26T21:56:53Z,5674,7.4926697452302,46.976380306613,597,599,25.2,385354.751320426,5203641.95217399
"2019-06-26 22:00:00",2019-06-26T21:59:36Z,5679,7.5034,46.931384,-999,561,26.3,386075.396197787,5198626.18631059
"2019-06-26 22:00:00",2019-06-26T21:53:52Z,5682,7.5329932797623,46.959179655691,605,602,26.1,388385.870939038,5201672.349476
"2019-06-26 22:00:00",2019-06-26T22:00:55Z,5689,7.534338,46.959315,596,605,28,388488.460908358,5201685.47529427
"2019-06-26 22:00:00",2019-06-26T21:53:27Z,5691,7.4874141,46.9592224,552,553,NAN,384918.219554768,5201743.01495564
"2019-06-26 22:00:00",2019-06-26T21:57:35Z,5694,7.4851934909821,46.965485927012,556,555,28,384762.725066759,5202442.2999942
